Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs (000 US$),"Reconstruction Costs, Adjusted (000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages (000 US$),"Total Damages, Adjusted (000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
2020-0270-BRA,2020,0270,,Natural,Meteorological,Storm,Convective storm,,,Brazil,BRA,South America,Americas,"Santa Catarina state; Iraí, Cacique Doble, Barracão, Vacaria and Capão Bonito do Sul (Rio Grande do Sul State); Parana",,Flood,"Slide (land, mud, snow, rock)",,,Yes,,100,Kph,,,,,2020,6,30,2020,7,1,12,,1119,,1119,,,,,100000,113077,88.43564081,1,680;685;688,,"Parana, Rio Grande Do Sul, Santa Catarina (Adm1)."
2020-0418-CHE,2020,0418,,Natural,Meteorological,Storm,Convective storm,,Storm 'Alex',Switzerland,CHE,Western Europe,Europe,,,Flood,"Slide (land, mud, snow, rock)",,,,,180,Kph,,,,,2020,10,2,2020,10,3,,,13,,13,,,,,,,88.43564081,1,2807;2808;2809;2810;2811;2812;2813;2814;2815;2816;2817;2818;2819;2820;2821;2822;2823;2824;2825;2826;2827;2828;2829;2830;2831;2832,,"Aargau, Appenzell Ausser-rhoden, Appenzell Inner-rhoden, Basel-landschaft, Basel-stadt, Bern, Fribourg, Geneve, Glarus, Graubunden, Jura, Luzern, Neuchatel, Nidwalden, Obwalden, Sankt Gallen, Schaffhausen, Schwyz, Solothurn, Thurgau, Ticino, Uri, Valais, Vaud, Zug, Zurich (Adm1)."
2020-0495-COL,2020,0495,TC-2020-000218,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane 'Iota',Colombia,COL,South America,Americas,"San Andre, Providencia Islands (Caribbean Sea), Bolivar, Choco, Guajira, Santa Catalina, Sucre, Atlántico, Magdalena,La Guajira Departments",,Flood,"Slide (land, mud, snow, rock)",,,,,,Kph,,,,,2020,11,14,2020,11,17,23,,228000,,228000,,,,,100000,113077,88.43564081,1,937;938;946;950;953;960;962,,"Atlantico, Bolivar, Choco, Guajira, Magdalena, San Andres Y Providencia, Sucre (Adm1)."
2020-0022-BRA,2020,0022,,Natural,Hydrological,Flood,,,,Brazil,BRA,South America,Americas,"Alfredo Chaves, Iconha Municipalities (Espirito Santo State); Minas Gerais state; Rio de Janeiro",Heavy rains,"Slide (land, mud, snow, rock)",Storm,,,Yes,,115220,Km2,-19.398,-45.901,,,2020,1,17,2020,1,27,61,12,11000,,11012,,,,,300000,339230,88.43564081,1;2,677;683,7136;7163,"Minas Gerais, Rio De Janeiro (Adm1). Alfredo Chaves, Iconha (Adm2)."
2020-0009-AFG,2020,0009,CW-2020-000008,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,Afghanistan,AFG,Southern Asia,Asia,"Helmand, Kandahar, Zabul, Uruzgan, Laghman, Herat, Badghis, Ghor, Daykundi, Bamyan, Baghlan provinces",,Cold wave,Snow/ice,,,,,,Kph,,,,,2020,1,12,2020,1,15,13,40,7441,,7481,,,,,,,88.43564081,1,273;274;276;280;281;282;285;290;303;99878;99881,,"Badghis, Baghlan, Bamyan, Daykundi, Ghor, Hilmand, Hirat, Kandahar, Laghman, Uruzgan, Zabul (Adm1)."
2020-0323-BGD,2020,0323,FL-2020-000166,Natural,Hydrological,Flood,,,,Bangladesh,BGD,Southern Asia,Asia,"Jamalpur, Kurigram, Gaibandha, Tangail, Sylhet, Sirajganj, Bogura, Sunamganj, Sherpur, Netrokona, Lalmonirhat, Moulovi Bazar, Faridpur, Manikganj, Nilphamari Chapai Nawabganj, Rajbari and Kushtia",Monsoonal rains,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2020,6,15,2020,9,30,257,,5448271,,5448271,,,,,500000,565383,88.43564081,1;2,580,5779;5782;5785;5790;5791;5793;5794;5800;5805;5807;5809;5810;5814;5819,"Sylhet (Adm1). Bogra, Faridpur, Gaibandha, Jamalpur, Kurigram, Kushtia, Lalmonirhat, Manikganj, Netrakona, Nilphamari, Rajbari, Sherpur, Sirajganj, Tangail (Adm2)."
2020-0285-BIH,2020,0285,FF-2020-000153,Natural,Hydrological,Flood,,,,Bosnia and Herzegovina,BIH,Southern Europe,Europe,Tuzla Canton,,"Slide (land, mud, snow, rock)",,,,Yes,,,Km2,,,,,2020,6,22,2020,6,23,,,15000,,15000,,,,,,,88.43564081,2,,6317,Tuzla (Adm2).
2020-0058-BOL,2020,0058,,Natural,Hydrological,Flood,,,,Bolivia (Plurinational State of),BOL,South America,Americas,"La Paz, Santa Cruz, Potosi, Beni, Cochabamba,Tarija Departments",Heavy rains,"Slide (land, mud, snow, rock)",,,,Yes,,,Km2,,,,Sapahaqui River,2020,2,13,2020,2,13,8,11,2500,,2511,,,,,,,88.43564081,1,40443;40445;40446;40448;40449;40450,,"Beni, Cochabamba, La Paz, Potosi, Santa Cruz, Tarija (Adm1)."
2020-0091-BOL,2020,0091,,Natural,Hydrological,Flood,,,,Bolivia (Plurinational State of),BOL,South America,Americas,"La Paz, Santa Cruz, Potosi, Beni, Cochabamba, Tarija",Seasonal rain,"Slide (land, mud, snow, rock)",,,,Yes,,,Km2,,,,,2020,2,8,2020,2,29,18,,35100,,35100,,,,,10000,11308,88.43564081,1,40443;40445;40446;40448;40449;40450,,"Beni, Cochabamba, La Paz, Potosi, Santa Cruz, Tarija (Adm1)."
2020-0056-BRA,2020,0056,,Natural,Hydrological,Flood,,,,Brazil,BRA,South America,Americas,"Marilia, Botucatu, Laranjal Paulista,Taboao da Serra (Sao Paulo State)",Heavy rains,"Slide (land, mud, snow, rock)",,,,Yes,,,Km2,,,,,2020,2,9,2020,2,11,5,,658,,658,,,,,50000,56538,88.43564081,2,,11279;11307;11569,"Laranjal Paulista, Marilia, Taboao Da Serra (Adm2)."
2020-0077-BRA,2020,0077,,Natural,Hydrological,Flood,,,,Brazil,BRA,South America,Americas,Rio de Janeiro State,Heavy rains,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2020,2,29,2020,3,2,4,2,150,,152,,,,,,,88.43564081,1,683,,Rio De Janeiro (Adm1).
2020-0083-BRA,2020,0083,,Natural,Hydrological,Flood,,,,Brazil,BRA,South America,Americas,"Guaruja , Santos, Sao Vicente (Baixada Santista Regions, Sao Paulo state)",Heavy rains,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2020,3,2,2020,3,3,60,,,5000,5000,,,,,75000,84807,88.43564081,2,,11192;11523;11550,"Guaruja, Santos, Sao Vicente (Adm2)."
2020-0560-BRA,2020,0560,,Natural,Hydrological,Flood,,,,Brazil,BRA,South America,Americas,Vale do Itajai region (Santa Caterina State),Heavy rains,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2020,12,17,2020,12,21,21,,339,,339,,,,,75000,84807,88.43564081,2,,10811,Itajai (Adm2).
2020-0259-CIV,2020,0259,,Natural,Hydrological,Flood,,,FL-2020-000154,Côte d’Ivoire,CIV,Western Africa,Africa,"Abobo, Adjamé, Anyama, Cocody, Port-Bouet ,Yopougon (Abidjan area); San-Pedro,Alépé (Me Region), Divo(Lôh-Djiboua), Azaguié (Agneby-Tiassa), Niakaramadougou (Vallée du Bandama),Tabou (Bas-Sassandra)",Torrential rains,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2020,6,15,2020,6,17,24,32,16525,2100,18657,,,,,,,88.43564081,1;2,1051;16838,16846;16861;16863;16865,"District autonome de Abidjan, Vallee Du Bandama (Adm1). Agneby-Tiassa, L??h-Djiboua, Me, San-pedro (Adm2)."
2020-0071-COL,2020,0071,,Natural,Hydrological,Flood,Flash flood,,,Colombia,COL,South America,Americas,Piedecuesta Municipality (Santander Department); Chinchina (Caldas Department),,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2020,2,26,2020,2,27,14,7,150,,157,,,,,,,88.43564081,2,,13664;14266,"Chinchina, Piedecuesta (Adm2)."
2020-0477-COL,2020,0477,,Natural,Hydrological,Flood,,,,Colombia,COL,South America,Americas,Santander department; El Retén and Fundación (Magdalena Department),Heavy rains,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2020,10,31,2020,11,2,,,26460,,26460,,,,,25000,28269,88.43564081,1;2,961,14010;14017,"Santander (Adm1). Aracataca, Fundacion (Adm2)."
2020-0266-CAN,2020,0266,,Natural,Meteorological,Storm,Convective storm,Severe storm,,Canada,CAN,Northern America,Americas,Calgary (Alberta),,Hail,,,,,,,Kph,,,,,2020,6,13,2020,6,14,,,60000,,60000,,,900000,1017689,1200000,1356919,88.43564081,2,,12525,Division No. 6 (Adm2).
2020-0060-ARG,2020,0060,,Natural,Meteorological,Storm,Convective storm,,,Argentina,ARG,South America,Americas,"Famaillá, La Reducción, La Madrid, Los Ralos, Yerba Buena municipalities (Tucumán province )",,Flood,,,,,,,Kph,,,,,2020,1,15,2020,1,16,,,250,,250,,,,,,,88.43564081,2,,4878;4879;4880;4883;4890,"Cruz Alta, Famailla, Graneros, Lules, Yerba Buena (Adm2)."
2020-0306-ARM,2020,0306,FL-2020-000171,Natural,Meteorological,Storm,Convective storm,Hail,,Armenia,ARM,Western Asia,Asia,Gyumri,,Flood,,,,,,,Kph,,,,,2020,7,13,2020,7,13,,,2836,,2836,,,,,,,88.43564081,1,460,,Shirak (Adm1).
2020-0109-BDI,2020,0109,,Natural,Meteorological,Storm,Convective storm,Lightning/Thunderstorms,,Burundi,BDI,Eastern Africa,Africa,"Gitega, Ruyigi, Bujumbura Mairie, Rumonge provinces.",,Flood,,,,,,,Kph,,,,,2020,3,16,2020,3,22,2,,5000,,5000,,,,,,,88.43564081,1;2,40543;40548;40558,40580;40596,"Bujumbura Mairie, Gitega, Ruyigi (Adm1). Bugarama, Rumonge (Adm2)."
2020-0260-CHN,2020,0260,,Natural,Hydrological,Landslide,Landslide,,,China,CHN,Eastern Asia,Asia,Danba County (Sichuan province),,Flood,,,,,,,,,,,,2020,6,17,2020,6,18,4,,20000,,20000,,,,,,,88.43564081,2,,13271,Garzê Tibetan (Adm2).
2020-0488-COL,2020,0488,,Natural,Hydrological,Landslide,Landslide,,,Colombia,COL,South America,Americas,Puerto Valdivia municupality (Antioquia department),,Flood,,,,,,,,,,,,2020,11,23,2020,11,23,18,12,,,12,,,,,,,88.43564081,2,,13457,Valdivia (Adm2).
2020-0207-CUB,2020,0207,SS-2020-000143,Natural,Meteorological,Storm,Convective storm,,,Cuba,CUB,Caribbean,Americas,"Sancti Spiritus, Villa Clara, Cienfuegos, Camaguey, Ciego de Avila provinces (central Cuba)",,Flood,,,,,,120,Kph,,,,,2020,5,25,2020,5,26,,3,3830,,3833,,,,,,,88.43564081,1,1009;1010;1011;1021;1023,,"Camaguey, Ciego De Avila, Cienfuegos, Sancti Spiritus, Villa Clara (Adm1)."
2020-9206-AGO,2020,9206,DR-2021-000149,Natural,Climatological,Drought,Drought,,,Angola,AGO,Middle Africa,Africa,"Cunene, Huila, Namibe, Cuanza Sul, Benguela, Huambo",Strong dry spell,Food shortage,,,,,,,Km2,,,,,2020,12,,2022,2,,,,1643316,,1643316,,,,,,,88.43564081,1,399;403;404;405;406;413,,"Benguela, Cuanza Sul, Cunene, Huambo, Huila, Namibe (Adm1)."
2020-9235-BFA,2020,9235,,Natural,Climatological,Drought,Drought,,,Burkina Faso,BFA,Western Africa,Africa,,,Food shortage,,,,,,,Km2,,,,,2020,,,2020,6,,,,2900000,,2900000,,,,,,,88.43564081,1,40276;40277;40278;40279;40280;40281;40282;40283;40284;40285;40286;40287;40288,,"Boucle Du Mouhoun, Cascades, Centre, Centre-est, Centre-nord, Centre-ouest, Centre-sud, Est, Hauts-bassins, Nord, Plateau Central, Sahel, Sud-ouest (Adm1)."
2020-0496-CHN,2020,0496,,Natural,Hydrological,Flood,,,,China,CHN,Eastern Asia,Asia,"Shaanxi , Shanxi Provinces",Heavy rains,Industrial accidents,,,,,,,Km2,,,,,2020,11,11,2020,11,12,13,,120,,120,,,,,,,88.43564081,1,920;923,,"Shaanxi Sheng, Shanxi Sheng (Adm1)."
2020-0425-CHN,2020,0425,,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm 'Nangka' (Nika),China,CHN,Eastern Asia,Asia,Hainan Island (southern China),,Transport accident,,,,,,,Kph,,,,,2020,10,13,2020,10,14,6,,,,,,,,,14000,15831,88.43564081,1,906,,Hainan Sheng (Adm1).
2020-0125-COG,2020,0125,,Natural,Hydrological,Flood,,,,Congo (the),COG,Middle Africa,Africa,Brazzaville,Heavy rains,Lightening,,,,,,,Km2,,,,,2020,3,30,2020,4,2,20,,,,,,,,,,,88.43564081,1,190432,,Brazzaville (Adm1).
2020-0124-AFG,2020,0124,,Natural,Hydrological,Flood,Flash flood,,,Afghanistan,AFG,Southern Asia,Asia,"Takhar, Parwan, Herat, Farah, Badghis, Faryab, Baghlan, Badakhshan, Ghor provinces",Heavy rains,,,,,,,,Km2,,,,,2020,3,28,2020,4,21,56,31,15000,3000,18031,,,,,,,88.43564081,1,272;273;274;277;278;280;282;300;99880,,"Badakhshan, Badghis, Baghlan, Farah, Faryab, Ghor, Hirat, Parwan, Takhar (Adm1)."
2020-0153-AFG,2020,0153,,Natural,Hydrological,Flood,Flash flood,,,Afghanistan,AFG,Southern Asia,Asia,Tala Wa Barfak District (south-western Baghlan province); Samangan province,Heavy rains,,,,,,,,Km2,,,,,2020,5,2,2020,5,5,4,,5500,,5500,,,,,,,88.43564081,1;2,298,3476,Samangan (Adm1). Tala Wa barfak (Adm2).
2020-0311-AFG,2020,0311,,Natural,Hydrological,Flood,Flash flood,,,Afghanistan,AFG,Southern Asia,Asia,Kuz Kunar District (Nangarhar Province); Parwan province,Heavy rains,,,,,,,,Km2,,,,,2020,7,31,2020,8,1,16,,,100,100,,,,,,,88.43564081,1;2,99880,3665,Parwan (Adm1). Kuzkunar (Adm2).
2020-0377-AFG,2020,0377,,Natural,Hydrological,Flood,Flash flood,,,Afghanistan,AFG,Southern Asia,Asia,"Parwan, Nuristan, Nangahar, Laghman, Kapisa, Panjshir, Wardak, Logar, Paktiya, Paktika provinces",Heavy rains,,,,,,,,Km2,,,,,2020,8,25,2020,9,4,212,170,15000,5275,20445,,,,,,,88.43564081,1,286;290;291;292;294;295;296;302;99879;99880,,"Kapisa, Laghman, Logar, Nangarhar, Nuristan, Paktika, Paktya, Panjsher, Parwan, Wardak (Adm1)."
2020-0063-AFG,2020,0063,,Natural,Hydrological,Landslide,Avalanche,,,Afghanistan,AFG,Southern Asia,Asia,Daykundi Province,,,,,,,,,,,,,,2020,2,13,2020,2,14,22,10,,250,260,,,,,,,88.43564081,1,99878,,Daykundi (Adm1).
2020-0142-AFG,2020,0142,,Natural,Hydrological,Flood,,,,Afghanistan,AFG,Southern Asia,Asia,"Nasai District (Badakhshan Province), Jawand District (Badghis Province)",Heavy rains,,,,,,,,Km2,,,,,2020,4,13,2020,4,16,5,,,,,,,,,,,88.43564081,2,,3460;100004,"Darwaz, Jawand (Adm2)."
2020-0173-AGO,2020,0173,,Natural,Hydrological,Flood,Flash flood,,,Angola,AGO,Middle Africa,Africa,"Kilamba Kiaxi, Talatona Municipalities (Viana, Luanda province); Huila, Malanje, Uige Provinces",Heavu rains,,,,,,,77632,Km2,-9.139,14.201,,,2020,4,18,2020,4,24,30,,10600,,10600,,,,,,,88.43564081,1;2,406;411;414,4299;4300,"Huila, Malanje, Uige (Adm1). Luanda, Viana (Adm2)."
2020-0104-AGO,2020,0104,,Natural,Hydrological,Flood,,,,Angola,AGO,Middle Africa,Africa,"Cuanza Sul, Malanje, Lunda Sul, and Cunene Provinces",Heavy rains,,,,,,,,Km2,,,,,2020,3,16,2020,3,17,3,,10000,,10000,,,,,,,88.43564081,1,403;404;410;411,,"Cuanza Sul, Cunene, Lunda Sul, Malanje (Adm1)."
2020-0092-ARG,2020,0092,,Natural,Hydrological,Flood,,,,Argentina,ARG,South America,Americas,"Chaco, Salta, Tucumán,La Rioja Provinces",Torrential seasonal rains,,,,,,,,Km2,,,,San Antonio River,2020,2,11,2020,2,19,3,,3000,,3000,,,,,10000,11308,88.43564081,1,432;440;445;452,,"Chaco, La Rioja, Salta, Tucuman (Adm1)."
2020-0055-BDI,2020,0055,,Natural,Hydrological,Flood,,,,Burundi,BDI,Eastern Africa,Africa,"Bujumbura Rural, Bujumbura Mairie, Bubanza Provinces",,,,,,,,,Km2,,,,Rusizi River,2020,1,28,2020,2,13,3,19,9743,,9762,,,,,,,88.43564081,1,40542;40543;40544,,"Bubanza, Bujumbura Mairie, Bujumbura Rural (Adm1)."
2020-0172-BDI,2020,0172,,Natural,Hydrological,Flood,,,,Burundi,BDI,Eastern Africa,Africa,"Bujumbura City (Bujumbura Mairie Province, central-west Burundi), Cibitoke and Bubanza Provinces",Heavy rains,,,,,,,,Km2,,,,Rusizi River,2020,4,13,2020,4,19,,,27000,,27000,,,,,,,88.43564081,1,40542;40543;40547,,"Bubanza, Bujumbura Mairie, Cibitoke (Adm1)."
2020-0051-BEL,2020,0051,,Natural,Meteorological,Storm,Extra-tropical storm,,Storm 'Ciara' (Sabine),Belgium,BEL,Western Europe,Europe,,,,,,,,,,Kph,,,,,2020,2,9,2020,2,9,,,,,,,,,,,,88.43564081,1,600;601;602,,"Region de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewes, Region wallonne, Vlaams Gewest (Adm1)."
2020-0530-BEL,2020,0530,,Natural,Meteorological,Extreme temperature,Heat wave,,,Belgium,BEL,Western Europe,Europe,,,,,,,,,,°C,,,,,2020,8,5,2020,8,8,1687,,,,,,,,,,,88.43564081,1,600;601;602,,"Region de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewes, Region wallonne, Vlaams Gewest (Adm1)."
2020-0421-BEN,2020,0421,,Natural,Hydrological,Flood,Riverine flood,,,Benin,BEN,Western Africa,Africa,"Kandi, Karimama and Malanville (Alibori Department, north-eastern Benin)",Heavy rains,,,,,,,,Km2,,,,Niger and Okpara rivers,2020,10,1,2020,10,2,6,,7000,,7000,,,,,,,88.43564081,2,,5863;5864;5865,"Kandi, Karimama, Malanville (Adm2)."
2020-0169-BFA,2020,0169,,Natural,Hydrological,Flood,,,,Burkina Faso,BFA,Western Africa,Africa,"Kongoussi Commune (Bam Province, Centre-Nord region)",Heavy rains,,,,,,,42578,Km2,13.343,-1.116,,,2020,4,19,2020,4,26,,,21000,,21000,,,,,,,88.43564081,2,,154454,Bam (Adm2).
2020-0248-BFA,2020,0248,,Natural,Hydrological,Flood,,,,Burkina Faso,BFA,Western Africa,Africa,"Kongoussi (Bam) , Pensa (Bam) , Barsalogho Municipalities (Sanmatenga)",Heavy rains,,,,,,,,Km2,,,,,2020,6,5,2020,6,11,,24,14500,3500,18024,,,,,,,88.43564081,2,,154454;154456,"Bam, Sanmatenga (Adm2)."
2020-0399-BFA,2020,0399,FL-2020-000200,Natural,Hydrological,Flood,,,,Burkina Faso,BFA,Western Africa,Africa,"Soum (Sahel); Sanguie (West Central); Sanmatenga, Namentenga, Bam (North Central); Gourma (East); Kadiogo (Centrall)",Heavy rains,,,,,Yes,,,Km2,,,,,2020,8,25,2020,9,10,13,87,71341,20000,91428,,,,,,,88.43564081,2,,154450;154454;154455;154456;154458;154465;154481,"Bam, Gourma, Kadiogo, Namentenga, Sanguie, Sanmatenga, Soum (Adm2)."
2020-0211-BGD,2020,0211,TC-2020-000137,Natural,Meteorological,Storm,Tropical cyclone,,Cyclone 'Amphan',Bangladesh,BGD,Southern Asia,Asia,"Cox's Bazar; Satkhira, Jashore, Khulna, Barguna, Bagerhat, Patuakhali, Bhola, Pirojpur districts",,,,,,,,,Kph,,,,,2020,5,20,2020,5,20,26,,2600000,,2600000,,,,,1500000,1696149,88.43564081,1;2,578,5772,Khulna (Adm1). Cox's Bazar (Adm2).
2020-0054-BGD,2020,0054,,Technological,Technological,Transport accident,Water,,Migrants,Bangladesh,BGD,Southern Asia,Asia,Near Cox's Bazar,,,,,,,,,,,,,,2020,2,10,2020,2,10,15,20,,,20,,,,,,,88.43564081,,,,
2020-0291-BGD,2020,0291,,Technological,Technological,Transport accident,Water,,Ferry 'Morning Bird',Bangladesh,BGD,Southern Asia,Asia,Dacca,,,,,,,,,,,,,,2020,6,29,2020,6,29,50,,,,,,,,,,,88.43564081,,,,
2020-0444-BGD,2020,0444,,Technological,Technological,Miscellaneous accident,Fire,,Mosquee,Bangladesh,BGD,Southern Asia,Asia,Narayanganj (near Dacca),,,,,,,,,,,,,,2020,9,6,2020,9,6,24,13,,,13,,,,,,,88.43564081,,,,
2020-0474-BLZ,2020,0474,TC-2020-000218,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane 'Eta',Belize,BLZ,Central America,Americas,"Cayo, Belize, Stann Creek, and Toledo districts",,,,,,,,,Kph,,,,,2020,11,4,2020,11,4,,,60000,,60000,,,,,,,88.43564081,1,603;604;607;608,,"Belize, Cayo, Stann Creek, Toledo (Adm1)."
2020-0427-BOL,2020,0427,,Natural,Climatological,Wildfire,Forest fire,,,Bolivia (Plurinational State of),BOL,South America,Americas,"Santa Cruz, Beni (nord-est), Pando (nord), Chuquisaca (sud-est), Tarija (sud), La Paz",Drought,,,Yes,,Yes,,,Km2,,,,,2020,1,,2020,10,,5,,126000,,126000,,,,,,,88.43564081,,,,
2020-0511-BRA,2020,0511,,Technological,Technological,Transport accident,Road,,,Brazil,BRA,South America,Americas,Near Taguai (Sao Paulo state),,,,,,,,,,,,,,2020,11,25,2020,11,25,37,15,,,15,,,,,,,88.43564081,,,,
2020-0537-BRA,2020,0537,,Technological,Technological,Transport accident,Road,,,Brazil,BRA,South America,Americas,Joao Monlevade (Minas Gerais state),,,,,,,,,,,,,,2020,12,4,2020,12,4,14,26,,,26,,,,,,,88.43564081,,,,
2020-0079-BRA,2020,0079,,Technological,Technological,Transport accident,Water,,Ferry 'Anna Karoline III',Brazil,BRA,South America,Americas,Amapa state,,,,,,,,,,,,,,2020,2,29,2020,2,29,48,,46,,46,,,,,,,88.43564081,,,,
2020-9582-BRA,2020,9582,,Natural,Climatological,Drought,Drought,,,Brazil,BRA,South America,Americas,"Rio Grande Do Sul, Santa Catarina",,,,,,,,,Km2,,,,,2020,1,,2020,12,,,,,,,,,,,3000000,3392297,88.43564081,1,685;688,,"Rio Grande Do Sul, Santa Catarina (Adm1)."
2020-0191-CAN,2020,0191,,Natural,Hydrological,Flood,Riverine flood,,,Canada,CAN,Northern America,Americas,Alberta,Rising temperatures and subsequent ice jamming,,,,,,,,Km2,,,,"Athabasca, Clearwater Rivers",2020,4,26,2020,4,30,1,,12936,,12936,,,,,1300000,1469996,88.43564081,1,825,,Alberta (Adm1).
2020-0241-CHN,2020,0241,,Natural,Meteorological,Storm,Convective storm,Severe storm,,China,CHN,Eastern Asia,Asia,,,,,,,,,,Kph,,,,,2020,5,1,2020,5,31,20,,600000,,600000,,,,,1100000,1243842,88.43564081,,,,
2020-0244-CHN,2020,0244,,Natural,Geophysical,Earthquake,Ground movement,,,China,CHN,Eastern Asia,Asia,Qiaojia and Ludian (Yunnan province),,,,,,,,5,Richter,27.296,103.281,13:30,,2020,5,18,2020,5,18,4,24,3300,,3324,,,,,17000,19223,88.43564081,2,,13306,Zhaotong (Adm2).
2020-0308-CHN,2020,0308,,Natural,Meteorological,Storm,Tropical cyclone,,Tropical cyclone 'Hagupit' (Dindo),China,CHN,Eastern Asia,Asia,"Zhejiang, Jiangsu Provinces",,,,,,,,130,Kph,,,,,2020,8,5,2020,8,5,,,15100,,15100,,,,,,,88.43564081,1,913;930,,"Jiangsu Sheng, Zhejiang Sheng (Adm1)."
2020-0355-CHN,2020,0355,,Natural,Meteorological,Storm,Tropical cyclone,,Tropical cyclone 'Mekkhala' (Ferdie),China,CHN,Eastern Asia,Asia,Zhangzhou Prefecture (Fujian province),,,,,,,,,Kph,,,,,2020,8,10,2020,8,11,,,12235,,12235,,,,,161000,182053,88.43564081,2,,13010,Zhangzhou (Adm2).
2020-0119-CHN,2020,0119,,Natural,Climatological,Wildfire,Forest fire,,,China,CHN,Eastern Asia,Asia,Liangshan Prefecture (Sichuan province),,,,,,,,,Km2,,,,,2020,3,30,2020,3,31,19,,1200,,1200,,,,,,,88.43564081,2,,13272,Liangshan Yi (Adm2).
2020-0120-CHN,2020,0120,,Technological,Technological,Transport accident,Rail,,,China,CHN,Eastern Asia,Asia,"Chenzhou City, (Hunan Province)",,,,,,,,,,,,,,2020,3,30,2020,3,30,1,127,,,127,,,,,,,88.43564081,2,,13139,Chenzhou (Adm2).
2020-0255-CHN,2020,0255,,Technological,Technological,Industrial accident,Explosion,,Tanker,China,CHN,Eastern Asia,Asia,Near Wenling (Zhejiang province),,,,,,,,,m3,,,,,2020,6,13,2020,6,13,19,170,,,170,,,,,,,88.43564081,,,,
2020-0430-CHN,2020,0430,,Technological,Technological,Industrial accident,Gas leak,,Cold Mine,China,CHN,Eastern Asia,Asia,Songzao (Chongqing),,,,,,,,,m3,,,,,2020,9,27,2020,9,27,16,1,,,1,,,,,,,88.43564081,,,,
2020-0534-CHN,2020,0534,,Technological,Technological,Industrial accident,Other,,Coal mine,China,CHN,Eastern Asia,Asia,Diaoshuidong (Yongchuan/ Chongqing Municipality district),,,,,,,,,m3,,,,,2020,12,4,2020,12,4,18,,,,,,,,,,,88.43564081,,,,
2020-0100-CHN,2020,0100,,Technological,Technological,Miscellaneous accident,Collapse,,Xinjia Hotel,China,CHN,Eastern Asia,Asia,Quanzhou (Fujian),,,,,,,,,,,,,,2020,3,7,2020,3,7,29,,,,,,,,,,,88.43564081,,,,
2020-0276-CHN,2020,0276,,Natural,Hydrological,Flood,,,,China,CHN,Eastern Asia,Asia,Mianning county (Sichuan province),,,,,,,,,Km2,,,,Yangtze river,2020,6,30,2020,7,5,22,,10000000,,10000000,,,,,,,88.43564081,2,,13272,Liangshan Yi (Adm2).
2020-0282-CHN,2020,0282,,Natural,Hydrological,Flood,,,,China,CHN,Eastern Asia,Asia,"Tongzi (Zunyi), Huishui Counties (Qiannan), Zunyi, Tongren, Qiandongnan Counties (Guizhou Province); Shijiaozhen(Qingyuan), Qijiang district (Chongqing province)",Heavy rains,,,,,,,,Km2,,,,,2020,6,22,2020,6,24,3,,74000,,74000,,,,,,,88.43564081,1;2,900,13043;13065;13066;13070;13071,"Chongqing Shi (Adm1). Qiandongnan Miao and Dong, Qiannan Buyei and Miao, Qingyuan, Tongren, Zunyi (Adm2)."
2020-0322-CHN,2020,0322,,Natural,Hydrological,Flood,,,,China,CHN,Eastern Asia,Asia,"Anhui, Hubei, Chongqing,Guangxi Zhuang Autonomous Region, Guangdong, Hunan, Guizhou, Yunnan, Jiangxi, Zhejiang, Fujian provinces",Torrential rains,,,,,,,,Km2,,,,Yangtze River Basin,2020,5,21,2020,7,30,280,,4200000,,4200000,,,350000,395768,17000000,19223019,88.43564081,1,898;900;901;903;904;905;911;912;914;929;930,,"Anhui Sheng, Chongqing Shi, Fujian Sheng, Guangdong Sheng, Guangxi Zhuangzu Zizhiqu, Guizhou Sheng, Hubei Sheng, Hunan Sheng, Jiangxi Sheng, Yunnan Sheng, Zhejiang Sheng (Adm1)."
